"","solID","mape","decomp.rssd","nrmse","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"72","5_206_3",0,0.107482636808788,0.0509882322401757,0.655416093758623,0.758497165279898,0.622705702016006,0.385811588626675,0.639280150967174,3,FALSE
"73","5_206_4",0,0.0348699032796726,0.0549636876990135,0.561099924745225,0.491320603769938,0.253102753365926,0.761170032943041,0.770985770281919,3,FALSE
"74","5_207_5",0,0.033049631956983,0.0555805323129728,0.800462482708518,0.918343300978461,0.415095939448175,0.781581678677319,0.866233735698923,4,FALSE
"75","5_211_7",0,0.0335311138141119,0.0555681474822066,0.793996217387703,0.669351635521713,0.397528108629433,0.790018811971282,0.870756208105848,4,FALSE
"76","5_212_2",0,0.0444292704084149,0.0540730169195801,0.520893097721438,0.458777460529213,0.264228726991525,0.62474102063482,0.761941448173806,3,FALSE
"77","5_213_4",0,0.229740212960089,0.0489360967752615,0.700190582611163,0.413897903773097,1,0.100796384787833,0.128433595772091,2,FALSE
"78","5_214_1",0,0.268477812077481,0.0487614399610364,0.648501424516677,0.0870827222228293,0.425625790832452,0.133236832729457,0.0434256722343262,2,FALSE
"79","5_218_7",0,0.0494626200035596,0.0536778973346473,0.511634923682413,0.573928081075726,0.164786819386686,0.597034513023918,0.890371871017544,3,FALSE
"80","5_219_2",0,0.218672411587989,0.0489070049502766,0.624555465832428,0.295878412948209,0.552489963230712,0.120727619869751,0.189104791234521,2,FALSE
"81","5_222_2",0,0.122259228243665,0.050657208682732,0.696864590289819,0.504750897916696,0.306064498383004,0.346068368420377,0.529225723587084,3,FALSE
"82","5_223_4",0,0.20409320288947,0.0489399151539693,0.62986188087531,0.54812499000161,0.571036478979365,0.111616264840129,0.199988234760395,2,FALSE
"83","5_223_5",0,0.0419763873738642,0.0547408902260469,0.720701773357731,0.758149443957503,0.544774738113126,0.71108515427213,0.66426332813391,4,FALSE
"84","5_224_5",0,0.0591360087218702,0.0528101208793982,0.633928584213843,0.636470905176612,0.342320540954238,0.558734918586568,0.842606206958878,3,FALSE
"85","5_228_2",0,0.0722168899359528,0.0523911241594277,0.765583868721408,0.657392205776951,0.400002446471155,0.540746066481564,0.821058130938238,3,FALSE
"86","5_229_7",0,0.0355302206654822,0.0549088403747303,0.510089719530512,0.522419720782091,0.291663200767818,0.634691370143984,0.689914323122859,3,FALSE
"87","5_230_1",0,0.0606201173055803,0.0528381139373733,0.721099759680461,0.533194254038202,0.324736666758051,0.615093884698161,0.760205268864883,3,FALSE
"88","5_231_1",0,0.170404866683909,0.0494145923234019,0.757304610581715,0.391605050784683,0.28027495940076,0.235969456024512,0.46783123009631,2,FALSE
"89","5_233_2",0,0.0917521114367239,0.0513672766480648,0.581560252785648,0.493735854531476,0.394345038763887,0.410041220464272,0.633261893948261,3,FALSE
"90","5_235_5",0,0.0299528830291749,0.0560004606053542,0.803139054267395,0.817892920839805,0.419383926761285,0.789288649830898,0.974068984477912,4,FALSE
"91","5_239_5",0,0.233349116798545,0.048886594348942,0.608952979881029,0.136899032467537,0.376411726236513,0.147598563341982,0.169784723986831,2,FALSE
"92","5_245_4",0,0.196962788633868,0.049176159771405,0.692852869386819,0.697359970757677,0.845248869419975,0.126298026754406,0.26081579281309,2,FALSE
"93","5_248_2",0,0.239649486633424,0.0488409784150733,0.612868829187989,0.137406463868015,0.380965473512176,0.140943690147938,0.136596944776271,2,FALSE
"94","5_254_6",0,0.0173309966222751,0.0566024300330732,0.873635408397908,1,0.417003583140376,0.974498182114447,0.930719163984949,4,FALSE
"95","5_255_4",0,0.122192005163896,0.0508741029548574,0.553091775683393,0.296703383780045,0.312783640326018,0.334779050805822,0.593764715279456,3,FALSE
"96","5_255_5",0,0.0712847554139,0.0523701838122581,0.607693096103123,0.512821790102764,0.169219101427589,0.488433648110297,0.759783691570975,3,FALSE
"97","5_257_7",0,0.0924436765178522,0.0517304759350758,0.542792248395385,0.54623524587064,0.429861934728531,0.392640260216901,0.682835684458604,3,FALSE
"98","5_258_2",0,0.0721860198843174,0.0523961603700209,0.764489123024848,0.672381858412497,0.416559291482246,0.539093610386264,0.785767110952057,3,FALSE
"99","5_265_1",0,0.138069645948816,0.0502889604425813,0.769796175582675,0.527429102747313,0.766143559992264,0.300458764571694,0.696006361153819,2,FALSE
"100","5_271_5",0,0.0363979997506417,0.0538790724904356,0.698208868675748,0.751841165103624,0.268656777965945,0.680835266911643,0.755495037778729,4,FALSE
"101","5_271_6",0,0.0777768223751218,0.0520473757099073,0.45932629242578,0.29686070763899,0.248945723678249,0.481315608842982,0.692381862484316,3,FALSE
"102","5_272_6",0,0.0620351979511644,0.0526965629427454,0.468913457978298,0.507140991857889,0.170621697817504,0.482949924725018,0.742344621675475,3,FALSE
"103","5_274_2",0,0.14762307474494,0.0500836620446894,0.529840690359811,0.394060303087746,0.324054796183056,0.233213224501759,0.385349957278942,2,FALSE
"104","5_277_1",0,0.0656320312204823,0.0527963662613748,0.480799274975718,0.566290841515398,0.160407596590393,0.493784299160782,0.837561958926253,3,FALSE
"105","5_277_2",0,0.0600163161060225,0.0529548964470331,0.459611774476254,0.339188685094948,0.205264436190628,0.557184003550019,0.72897495291121,3,FALSE
"106","5_284_1",0,0.0972387554483422,0.0513352997714076,0.486822933034181,0.544230651079777,0.409425261079535,0.368099231066031,0.574223181134679,3,FALSE
